Museum,Region,Regional_Unit,Place_ID,Google_Maps_URL,Name_Found,Address,Rating,Ratings_Total
Αρχαιολογικό Μουσείο Παλαιόπολης Άνδρου,Νοτίου Αιγαίου,Κυκλάδων,ChIJXcJpZ5ZWohQRX19djrrdRHY,https://www.google.com/maps/place/?q=place_id:ChIJXcJpZ5ZWohQRX19djrrdRHY,Archaeological Museum of Paleopolis,"Palaiopoli 845 00, Greece",4.4,174
Αρχαιολογικό Μουσείο Πάρου,Νοτίου Αιγαίου,Κυκλάδων,ChIJV_flhw9xmBQRGIeJeCOWlRs,https://www.google.com/maps/place/?q=place_id:ChIJV_flhw9xmBQRGIeJeCOWlRs,Archaeological Museum of Paros,"Christou Konstantopoulos 2, Paros 844 00, Greece",4.4,531
Αρχαιολογικό Μουσείο Σίφνου,Νοτίου Αιγαίου,Κυκλάδων,ChIJIV1dajGNmBQRiJwFXE_KRvU,https://www.google.com/maps/place/?q=place_id:ChIJIV1dajGNmBQRiJwFXE_KRvU,Archaeological Museum of Siphnos,"Κάστρο 840 03, Greece",4.4,34
Αρχαιολογική Συλλογή Απειράνθου (Μουσείο Μιχάλη Μπαρδάνη),Νοτίου Αιγαίου,Κυκλάδων,ChIJg_uLwnYHmBQRoNfiuKJkjRA,https://www.google.com/maps/place/?q=place_id:ChIJg_uLwnYHmBQRoNfiuKJkjRA,Archaeological Museum of Apeiranthos,"Apeiranthos 843 02, Greece",3.6,42
Συλλογή Εικόνων και Κειμηλίων Πύργου Θήρας,Νοτίου Αιγαίου,Κυκλάδων,ChIJX6smmD_OmRQRtKbnenzfRXQ,https://www.google.com/maps/place/?q=place_id:ChIJX6smmD_OmRQRtKbnenzfRXQ,Collection of Icons and Ecclesiastical Heirlooms of Agia Triada at Pyrgos of Thera,"Epar.Od. Pirgou Kallistis - Profiti Ilia 2, Pirgos Kallistis 847 00, Greece",3.9,38
Αρχαιολογικό Μουσείο Σύρου,Νοτίου Αιγαίου,Κυκλάδων,ChIJW-vJ-FKIohQRLT_1eQ_jgs0,https://www.google.com/maps/place/?q=place_id:ChIJW-vJ-FKIohQRLT_1eQ_jgs0,Archaeological Museum of Syros,"Ermoupoli 841 00, Greece",4.1,274
Αρχαιολογικό Μουσείο Τήνου,Νοτίου Αιγαίου,Κυκλάδων,ChIJVxRZVOrsohQR1NaN8SFg_-E,https://www.google.com/maps/place/?q=place_id:ChIJVxRZVOrsohQR1NaN8SFg_-E,Αrchaeological Museum of Tinos,"Tinos 842 00, Greece",4.4,315
Νεολιθικό Μουσείο Διρού,Πελοποννήσου,Λακωνίας,ChIJB-tvRc3xYRMRcwSihIwOd5c,https://www.google.com/maps/place/?q=place_id:ChIJB-tvRc3xYRMRcwSihIwOd5c,Caves of Diros,"Pyrgos Dirou 230 63, Greece",4.5,12298
Κάστρο Μονεμβασιάς,Πελοποννήσου,Λακωνίας,ChIJfylVfNJBnhQR4QXUUzQg0vk,https://www.google.com/maps/place/?q=place_id:ChIJfylVfNJBnhQR4QXUUzQg0vk,CHRISOLITHOS,"ΚΑΣΤΡΟ, Monemvasia 230 70, Greece",4.8,637
Αρχαιολογική Συλλογή Μονεμβασίας,Πελοποννήσου,Λακωνίας,ChIJ25gx8NFBnhQRhqAZ5DtXsGg,https://www.google.com/maps/place/?q=place_id:ChIJ25gx8NFBnhQRhqAZ5DtXsGg,Archaeological Collection of Monemvasia,"EO Monemvasias Krokeon 2-31, Monemvasia 230 70, Greece",4.8,124
Αρχαιολογικό Μουσείο Νεάπολης Βοιών,Πελοποννήσου,Λακωνίας,ChIJm3qYdiNtnhQRskmIttH1Z6M,https://www.google.com/maps/place/?q=place_id:ChIJm3qYdiNtnhQRskmIttH1Z6M,Αρχαιολογικό Μουσείο Νεάπολης Βοιών,"Leof. Dimokratias, Neapoli Vion 230 53, Greece",4.9,43
Μουσείο Πύργου Πικουλάκη - Βυζαντινό Μουσείο Μάνης,Πελοποννήσου,Λακωνίας,ChIJU2uvZjPuYRMR0QwBuSQga78,https://www.google.com/maps/place/?q=place_id:ChIJU2uvZjPuYRMR0QwBuSQga78,Museum of Pikoulakis Tower-House - Byzantine Museum of Mani,"Areopoli 230 62, Greece",4.3,125
Αρχαιολογικό Μουσείο Σπάρτης,Πελοποννήσου,Λακωνίας,ChIJN5lJjInNYRMR_PWEvEyv984,https://www.google.com/maps/place/?q=place_id:ChIJN5lJjInNYRMR_PWEvEyv984,Archaeological Museum of Sparta,"Λυκούργου, Agiou Nikonos &, Sparti 231 00, Greece",4.1,1037
Αρχοντικό Σβάρτς,Θεσσαλίας,Λάρισας,ChIJAeWFihl3WBMRrEDU05VJu9s,https://www.google.com/maps/place/?q=place_id:ChIJAeWFihl3WBMRrEDU05VJu9s,Georgios Schwartz Mansion,"Ampelakia 400 04, Greece",4.7,354
